zoneID,totalPop,earningPop,earningPop1,earningPop2,earningPop3,earningPop4,earningPop5,earningPop6,earningPop7,earningPop8,earningPop9,earningPop10,earningPop11,earningPop12,earningPop13,earningPop14,earningPop15,earningPop16,earningPop17,earningPop18,earningPop19,earningPop20
01000,4447100.0,2238618.0,168978.0,121540.0,124646.0,107738.0,162615.0,111079.0,145954.0,105708.0,149536.0,85661.0,197415.0,167539.0,136812.0,102004.0,62710.0,66940.0,71192.0,45116.0,52203.0,53232.0
02000,626932.0,360767.0,27582.0,18680.0,18779.0,13745.0,20220.0,12787.0,17667.0,12173.0,19793.0,13350.0,28441.0,26966.0,22939.0,19788.0,14900.0,16377.0,19840.0,11867.0,13770.0,11103.0
04000,5130632.0,2607916.0,177701.0,135107.0,141433.0,117605.0,183403.0,117184.0,156477.0,115211.0,164584.0,104396.0,230200.0,196978.0,156986.0,126044.0,82020.0,86479.0,93986.0,60757.0,76469.0,84896.0
05000,2673400.0,1361817.0,107003.0,78446.0,82266.0,69706.0,106480.0,76727.0,98396.0,74008.0,98590.0,59517.0,124852.0,95759.0,71636.0,54099.0,31912.0,31869.0,31325.0,19425.0,22807.0,26994.0
06000,33871648.0,17392982.0,1147470.0,838085.0,941483.0,777926.0,1215488.0,740379.0,926273.0,623447.0,913248.0,564787.0,1256353.0,1183421.0,1002723.0,880524.0,624548.0,709018.0,847347.0,565418.0,754559.0,880485.0
08000,4301261.0,2550053.0,171669.0,130907.0,133100.0,100384.0,151360.0,92630.0,129971.0,97754.0,151547.0,98493.0,222844.0,207223.0,162957.0,136373.0,92049.0,97018.0,107272.0,71370.0,93091.0,102041.0
09000,3405565.0,1897706.0,113557.0,86823.0,84405.0,62832.0,88895.0,55739.0,78274.0,58299.0,95759.0,56600.0,151163.0,145262.0,132518.0,118150.0,85484.0,95030.0,110973.0,71083.0,86527.0,120333.0
10000,783600.0,438580.0,28307.0,22747.0,22559.0,16212.0,22260.0,15074.0,22518.0,17132.0,26777.0,16791.0,39975.0,34769.0,29796.0,24674.0,18153.0,17445.0,19711.0,12872.0,15352.0,15456.0
11000,572059.0,323014.0,26223.0,15627.0,15756.0,11663.0,15560.0,10206.0,14687.0,11041.0,17310.0,10362.0,26431.0,24095.0,20527.0,16238.0,10763.0,12849.0,14900.0,10771.0,17246.0,20759.0
12000,15982378.0,8143798.0,508966.0,391701.0,444563.0,382783.0,583506.0,381949.0,529989.0,387283.0,562284.0,336604.0,769025.0,611168.0,471323.0,379195.0,239328.0,253667.0,257531.0,168141.0,210507.0,274285.0
13000,8186453.0,4466873.0,293717.0,213632.0,220483.0,182167.0,278831.0,186767.0,259268.0,192960.0,293066.0,174600.0,415470.0,344505.0,282632.0,229251.0,153405.0,159899.0,168318.0,109886.0,143043.0,164973.0
15000,1211537.0,651139.0,43111.0,28618.0,32354.0,23611.0,39566.0,26539.0,35236.0,27072.0,42394.0,30258.0,62002.0,53799.0,42731.0,35173.0,24002.0,26075.0,28094.0,15760.0,18053.0,16691.0
16000,1293953.0,708457.0,69141.0,48719.0,46500.0,37479.0,51605.0,33150.0,42205.0,31558.0,44296.0,28487.0,57590.0,48818.0,38467.0,31858.0,18084.0,19162.0,20438.0,12574.0,13931.0,14395.0
17000,12419293.0,6772136.0,455320.0,351274.0,348233.0,270581.0,390148.0,245243.0,334535.0,247917.0,386405.0,233769.0,565846.0,510417.0,436857.0,384238.0,262977.0,290021.0,318739.0,207567.0,247525.0,284524.0
18000,6080485.0,3406044.0,253306.0,197725.0,189401.0,142084.0,198422.0,129695.0,186611.0,145581.0,221184.0,133830.0,313742.0,266420.0,210002.0,176874.0,122742.0,132589.0,135982.0,81339.0,87934.0,80581.0
19000,2926324.0,1691741.0,138384.0,109861.0,105411.0,78635.0,102141.0,69846.0,98633.0,78185.0,115176.0,74909.0,164900.0,138460.0,103611.0,79492.0,49987.0,47672.0,45707.0,27473.0,30557.0,32701.0
20000,2688418.0,1516807.0,116502.0,91178.0,88497.0,67942.0,96477.0,64159.0,84684.0,67288.0,95031.0,60947.0,139682.0,119273.0,92398.0,76103.0,48391.0,48327.0,51367.0,31837.0,37520.0,39204.0
21000,4041769.0,2084318.0,160357.0,118828.0,125312.0,104989.0,151626.0,99237.0,131131.0,98310.0,137615.0,85766.0,184595.0,156281.0,119718.0,97781.0,60006.0,61307.0,64411.0,38426.0,41795.0,46827.0
22000,4468976.0,2177013.0,180525.0,125455.0,131076.0,113274.0,173993.0,111276.0,130996.0,94793.0,129855.0,81894.0,186718.0,156504.0,118981.0,94609.0,61551.0,66351.0,72324.0,44449.0,49858.0,52531.0
23000,1274923.0,717808.0,58575.0,41907.0,41129.0,32966.0,49073.0,31490.0,44442.0,33280.0,50676.0,31303.0,65386.0,56890.0,44759.0,35413.0,21260.0,20188.0,19379.0,11439.0,13511.0,14742.0
24000,5296486.0,2996678.0,175395.0,130511.0,131039.0,95280.0,141227.0,93303.0,133543.0,102437.0,160597.0,100775.0,265779.0,248471.0,211444.0,183913.0,128509.0,139582.0,165914.0,114914.0,143505.0,130540.0
25000,6349097.0,3596842.0,224867.0,176760.0,171931.0,128784.0,179222.0,109104.0,155654.0,118378.0,190494.0,113881.0,304694.0,284305.0,245385.0,220466.0,153452.0,173808.0,182529.0,119628.0,158728.0,184772.0
26000,9938444.0,5363561.0,400627.0,305494.0,297495.0,225160.0,303345.0,190690.0,257458.0,194754.0,294369.0,184300.0,427721.0,385510.0,320209.0,286410.0,205665.0,232814.0,268241.0,181711.0,215053.0,186535.0
27000,4919479.0,2912891.0,196743.0,162305.0,155984.0,114986.0,157010.0,101872.0,139880.0,110554.0,173100.0,112271.0,264474.0,246207.0,199443.0,169894.0,113004.0,115190.0,122026.0,72887.0,87072.0,97989.0
28000,2844658.0,1386293.0,115567.0,81271.0,82983.0,73964.0,109076.0,74117.0,94115.0,70023.0,94943.0,60217.0,127373.0,100909.0,74856.0,54700.0,33506.0,34938.0,33541.0,20351.0,22589.0,27254.0
29000,5595211.0,3059274.0,232025.0,177622.0,175455.0,138091.0,202802.0,135724.0,183272.0,143035.0,202175.0,125919.0,277076.0,234296.0,177622.0,146028.0,94817.0,97156.0,105000.0,62014.0,72438.0,76707.0
30000,902195.0,502034.0,52324.0,36299.0,37156.0,28822.0,40999.0,26164.0,32764.0,23668.0,31744.0,19349.0,38677.0,34255.0,25049.0,19306.0,11085.0,11380.0,11561.0,6052.0,7001.0,8379.0
31000,1711263.0,996425.0,79658.0,63521.0,60241.0,46744.0,64748.0,43090.0,58581.0,47852.0,70671.0,45943.0,93818.0,77248.0,57232.0,45016.0,28008.0,27297.0,27747.0,17599.0,20557.0,20854.0
32000,1998257.0,1105866.0,59352.0,44277.0,47593.0,42623.0,70419.0,45801.0,67128.0,53219.0,81916.0,48025.0,106720.0,90655.0,73371.0,60789.0,40241.0,42934.0,43444.0,25861.0,29599.0,31899.0
33000,1235786.0,731877.0,49103.0,39099.0,36389.0,27293.0,37952.0,23161.0,35940.0,27919.0,45359.0,28803.0,67908.0,61121.0,49419.0,41568.0,28225.0,28858.0,30336.0,19508.0,26450.0,27466.0
34000,8414350.0,4542899.0,253089.0,193898.0,202553.0,154256.0,231947.0,137760.0,199481.0,143374.0,230470.0,132574.0,351278.0,333276.0,304011.0,267470.0,187000.0,215799.0,264807.0,193682.0,256925.0,289249.0
35000,1819046.0,915244.0,79681.0,56733.0,59650.0,49683.0,74627.0,46338.0,58280.0,42341.0,55840.0,36203.0,74483.0,63211.0,46796.0,37875.0,24593.0,24765.0,26265.0,16237.0,21830.0,19813.0
36000,18976457.0,9730238.0,644728.0,484600.0,497783.0,399789.0,573516.0,352097.0,477561.0,349723.0,520583.0,318305.0,801952.0,726547.0,605218.0,524669.0,360621.0,411332.0,482215.0,321745.0,406693.0,470561.0
37000,8049313.0,4468704.0,298061.0,219389.0,223690.0,185245.0,287307.0,208928.0,285800.0,225986.0,329397.0,201052.0,445329.0,353744.0,268741.0,212665.0,132286.0,131951.0,135661.0,86275.0,109656.0,127541.0
38000,642200.0,373643.0,33514.0,26637.0,26093.0,20239.0,27950.0,19143.0,25337.0,18822.0,26379.0,16268.0,32413.0,26554.0,18932.0,14227.0,8757.0,7810.0,8240.0,4489.0,5417.0,6422.0
39000,11353140.0,6182917.0,453000.0,345946.0,339244.0,263424.0,364681.0,239454.0,325748.0,249804.0,372244.0,238015.0,559113.0,496664.0,394503.0,337675.0,226202.0,235986.0,250668.0,149294.0,169271.0,171981.0
40000,3450654.0,1809231.0,156361.0,112010.0,112389.0,92925.0,137151.0,91922.0,115388.0,87870.0,116109.0,74966.0,162438.0,130253.0,96939.0,73473.0,46916.0,49411.0,50713.0,29375.0,35639.0,36983.0
41000,3421399.0,1891657.0,152528.0,110479.0,110055.0,87030.0,124755.0,81485.0,104690.0,77799.0,110250.0,74089.0,156022.0,147463.0,112995.0,96014.0,65060.0,66640.0,69046.0,42368.0,49812.0,53077.0
42000,12281054.0,6495153.0,485734.0,379303.0,364333.0,274581.0,374254.0,249799.0,344392.0,264540.0,391551.0,245329.0,581044.0,500741.0,415840.0,352778.0,234312.0,240824.0,255248.0,155413.0,182271.0,202866.0
44000,1048319.0,578828.0,39507.0,31430.0,32904.0,25091.0,34895.0,23001.0,31836.0,22030.0,35797.0,21442.0,51759.0,45471.0,36980.0,31081.0,19716.0,24675.0,24277.0,14091.0,15974.0,16871.0
45000,4012012.0,2132189.0,155048.0,110945.0,114051.0,95539.0,145242.0,101064.0,139149.0,107878.0,154619.0,94167.0,208946.0,164614.0,125514.0,99574.0,61323.0,60299.0,62335.0,38085.0,44810.0,48987.0
46000,754844.0,428659.0,37174.0,30619.0,29187.0,22075.0,30895.0,19692.0,28601.0,22641.0,32928.0,20622.0,40143.0,31220.0,21497.0,15856.0,9802.0,8132.0,9032.0,4924.0,6051.0,7568.0
47000,5689283.0,3061921.0,222358.0,159933.0,165045.0,140218.0,207683.0,142107.0,195356.0,149189.0,219173.0,132021.0,295056.0,237055.0,176935.0,144465.0,87675.0,87912.0,91025.0,57332.0,67768.0,83615.0
48000,20851820.0,10877297.0,806346.0,569764.0,589420.0,502241.0,793002.0,510249.0,643473.0,468369.0,648633.0,413916.0,921524.0,786862.0,635188.0,514322.0,341427.0,354951.0,387472.0,261078.0,337179.0,391881.0
49000,2233169.0,1206463.0,113691.0,84556.0,81554.0,60022.0,82204.0,49714.0,65516.0,49560.0,70358.0,44481.0,93532.0,81611.0,66234.0,58033.0,38036.0,37347.0,42257.0,25879.0,30413.0,31465.0
50000,608827.0,361806.0,30192.0,23134.0,21214.0,16294.0,22333.0,14656.0,21563.0,16378.0,25280.0,15006.0,35094.0,29002.0,21594.0,17385.0,10855.0,10224.0,10340.0,6112.0,7256.0,7894.0
51000,7078515.0,4045996.0,268236.0,199307.0,193398.0,152734.0,234233.0,161538.0,221308.0,168715.0,240249.0,152301.0,359369.0,309999.0,250306.0,206631.0,143021.0,147341.0,178614.0,125294.0,171913.0,161489.0
53000,5894121.0,3277925.0,239453.0,171788.0,170234.0,130865.0,196759.0,123256.0,156741.0,118653.0,178030.0,121276.0,267411.0,253359.0,214733.0,187436.0,135349.0,139759.0,158154.0,96839.0,109899.0,107931.0
54000,1808344.0,858397.0,77150.0,54936.0,55517.0,47255.0,67186.0,44573.0,54985.0,41584.0,53836.0,33264.0,68193.0,60358.0,47071.0,37434.0,22671.0,23952.0,25125.0,14672.0,14688.0,13947.0
55000,5363675.0,3123308.0,216114.0,184542.0,183625.0,134068.0,177306.0,117033.0,164506.0,131437.0,197228.0,126716.0,291875.0,261302.0,211629.0,176403.0,115757.0,113252.0,115699.0,63000.0,69153.0,72663.0
56000,493782.0,285590.0,27358.0,19169.0,19107.0,14938.0,21132.0,13335.0,16914.0,11978.0,16750.0,10701.0,22938.0,19381.0,15611.0,12658.0,8806.0,9067.0,9913.0,5995.0,5130.0,4709.0
72000,3808610.0,1250440.0,117513.0,96454.0,109158.0,133627.0,197696.0,98700.0,88797.0,64286.0,76072.0,45530.0,52710.0,41033.0,27371.0,21039.0,13924.0,14250.0,15432.0,9693.0,11906.0,15249.0
